
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
2002,  0.093,  0.255,  0.051, -0.474, -0.326, -0.149, -0.124, -0.266, -0.214, -0.396, -0.211, -0.430, -0.183, -0.163,  0.052, -0.250, -0.180, -0.274
2003, -0.001, -0.335, -0.408, -0.372, -0.126, -0.287, -0.108,  0.045, -0.053,  0.055, -0.335,  0.137, -0.149, -0.196, -0.255, -0.302, -0.116, -0.111
2004, -0.264,  0.025, -0.205, -0.280, -0.323, -0.361, -0.291, -0.268, -0.242, -0.231, -0.011, -0.403, -0.238, -0.193, -0.034, -0.269, -0.306, -0.161
2005,  0.012, -0.177, -0.124, -0.050, -0.064, -0.039, -0.034, -0.122,  0.064,  0.019,  0.066, -0.007, -0.038, -0.071, -0.189, -0.080, -0.065,  0.050
2006, -0.280,  0.060, -0.286, -0.383, -0.083, -0.018, -0.092, -0.128, -0.016,  0.027, -0.046,  0.313, -0.078, -0.104, -0.076, -0.251, -0.079, -0.012
2007,  0.534,  0.003, -0.108,  0.096, -0.117, -0.175, -0.124, -0.089, -0.164, -0.095, -0.170, -0.074, -0.040, -0.008,  0.283, -0.043, -0.129, -0.143
2008, -0.590, -0.305,  0.077, -0.325, -0.240, -0.213, -0.184, -0.219, -0.260, -0.071, -0.024, -0.190, -0.212, -0.202, -0.323, -0.163, -0.205, -0.118
2009, -0.103, -0.194, -0.471, -0.273, -0.180, -0.148, -0.104, -0.096,  0.017, -0.138, -0.149, -0.183, -0.168, -0.169, -0.162, -0.308, -0.116, -0.090
2010, -0.127,  0.042,  0.031,  0.151,  0.095,  0.025,  0.102,  0.048, -0.129, -0.034,  0.215, -0.347,  0.006,  0.020, -0.089,  0.092,  0.058,  0.017
2011, -0.315, -0.333, -0.177, -0.127, -0.183, -0.066, -0.058, -0.110, -0.098, -0.021, -0.332,  0.040, -0.148, -0.181, -0.332, -0.163, -0.078, -0.150
2012, -0.245, -0.302, -0.346,  0.097,  0.134,  0.117,  0.072, -0.059,  0.031, -0.017, -0.016, -0.391, -0.077, -0.041, -0.169, -0.038,  0.043, -0.001
2013, -0.082, -0.102, -0.254, -0.293, -0.059, -0.055, -0.084, -0.077, -0.131, -0.099,  0.140, -0.008, -0.092, -0.124, -0.192, -0.202, -0.072, -0.030
2014,  0.047, -0.174,  0.140,  0.111,  0.064, -0.009, -0.014,  0.093,  0.003,  0.006, -0.183,  0.261,  0.029,  0.006, -0.045,  0.105,  0.023, -0.058
2015,  0.259,  0.305,  0.263,  0.054,  0.208,  0.228,  0.136,  0.201,  0.340,  0.366,  0.391,  0.695,  0.287,  0.251,  0.275,  0.175,  0.188,  0.366
2016,  0.624,  1.060,  0.846,  0.510,  0.278,  0.297,  0.258,  0.308,  0.391,  0.104,  0.127,  0.197,  0.417,  0.458,  0.793,  0.544,  0.288,  0.207
2017,  0.467,  0.638,  0.465,  0.231,  0.084,  0.104,  0.187,  0.203,  0.170,  0.125,  0.238,  0.561,  0.289,  0.259,  0.434,  0.260,  0.165,  0.178
2018,  0.217,  0.352,  0.103,  0.001,  0.175,  0.041,  0.118,  0.054,  0.138,  0.317, -0.017,  0.265,  0.147,  0.172,  0.377,  0.093,  0.071,  0.146
2019,  0.282,  0.241,  0.502,  0.282,  0.149,  0.373,  0.250,  0.274,  0.380,  0.382,  0.213,  0.556,  0.324,  0.300,  0.263,  0.311,  0.299,  0.325
2020,  0.673,  0.823,  0.608,  0.435,  0.441,  0.308,  0.319,  0.315,  0.370,  0.294,  0.627,  0.388,  0.467,  0.481,  0.684,  0.495,  0.314,  0.430
2021,  0.332,  0.072,  0.120,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******,*******,  0.264,*******,*******,*******
